Category: All categories

Week,SPSS: (Worldwide),SAS: (Worldwide),RStudio: (Worldwide)
2014-01-12,28,90,1
2014-01-19,28,85,1
2014-01-26,28,87,1
2014-02-02,28,83,1
2014-02-09,28,80,1
2014-02-16,30,80,2
2014-02-23,30,82,2
2014-03-02,31,83,1
2014-03-09,32,81,1
2014-03-16,31,80,1
2014-03-23,33,84,2
2014-03-30,33,87,2
2014-04-06,33,87,2
2014-04-13,33,75,2
2014-04-20,32,78,2
2014-04-27,33,80,1
2014-05-04,34,83,2
2014-05-11,35,82,2
2014-05-18,34,85,2
2014-05-25,31,82,1
2014-06-01,32,83,2
2014-06-08,30,82,2
2014-06-15,29,83,2
2014-06-22,28,84,2
2014-06-29,25,79,2
2014-07-06,24,79,2
2014-07-13,24,78,2
2014-07-20,23,81,1
2014-07-27,20,82,1
2014-08-03,23,78,2
2014-08-10,22,74,2
2014-08-17,24,82,1
2014-08-24,24,85,2
2014-08-31,24,82,2
2014-09-07,26,89,2
2014-09-14,27,86,2
2014-09-21,28,87,2
2014-09-28,28,88,2
2014-10-05,28,88,2
2014-10-12,29,84,2
2014-10-19,30,85,2
2014-10-26,30,89,2
2014-11-02,32,81,2
2014-11-09,32,79,2
2014-11-16,35,80,2
2014-11-23,33,80,2
2014-11-30,35,78,2
2014-12-07,34,76,2
2014-12-14,30,75,2
2014-12-21,20,55,1
2014-12-28,18,59,1
2015-01-04,26,83,2
2015-01-11,27,86,2
2015-01-18,27,85,2
2015-01-25,27,87,2
2015-02-01,27,83,2
2015-02-08,28,84,2
2015-02-15,28,84,2
2015-02-22,29,87,2
2015-03-01,30,94,2
2015-03-08,31,88,3
2015-03-15,31,86,3
2015-03-22,32,86,2
2015-03-29,30,77,2
2015-04-05,32,84,3
2015-04-12,35,85,3
2015-04-19,36,88,3
2015-04-26,34,83,2
2015-05-03,35,85,2
2015-05-10,35,88,2
2015-05-17,34,95,2
2015-05-24,32,83,2
2015-05-31,31,84,2
2015-06-07,30,84,2
2015-06-14,28,82,2
2015-06-21,28,85,2
2015-06-28,25,79,2
2015-07-05,23,82,2
2015-07-12,21,78,2
2015-07-19,21,80,2
2015-07-26,21,80,2
2015-08-02,21,78,2
2015-08-09,21,77,2
2015-08-16,22,74,2
2015-08-23,23,80,2
2015-08-30,23,82,2
2015-09-06,24,82,3
2015-09-13,25,83,3
2015-09-20,24,85,3
2015-09-27,26,84,3
2015-10-04,27,84,3
2015-10-11,28,82,3
2015-10-18,28,87,3
2015-10-25,29,87,3
2015-11-01,30,85,3
2015-11-08,30,82,3
2015-11-15,32,82,2
2015-11-22,31,75,2
2015-11-29,32,76,3
2015-12-06,32,74,3
2015-12-13,30,76,2
2015-12-20,20,58,2
2015-12-27,17,58,1
2016-01-03,25,79,2
2016-01-10,27,84,3
2016-01-17,27,86,3
2016-01-24,26,91,3
2016-01-31,25,90,3
2016-02-07,25,84,3
2016-02-14,26,84,3
2016-02-21,27,86,3
2016-02-28,28,88,3
2016-03-06,28,86,3
2016-03-13,29,83,3
2016-03-20,27,72,3
2016-03-27,29,83,3
2016-04-03,31,86,3
2016-04-10,32,85,3
2016-04-17,34,85,3
2016-04-24,33,82,3
